 0.000000, 3.041593, 0.000000, 0.000000
-0.000535, 3.042130,-0.032029, 0.032215
-0.002130, 3.043735,-0.063865, 0.064134
-0.004774, 3.046393,-0.094742, 0.095207
-0.008430, 3.050068,-0.125067, 0.125467
-0.013073, 3.054730,-0.153777, 0.154225
-0.018647, 3.060323,-0.180631, 0.181205
-0.025082, 3.066783,-0.205374, 0.206135
-0.032305, 3.074037,-0.227763, 0.228759
-0.040234, 3.082003,-0.248422, 0.249264
-0.048805, 3.090608,-0.266234, 0.266984
-0.057921, 3.099755,-0.281026, 0.281735
-0.068276, 3.109741,-0.684617, 0.489230
-0.143955, 3.152517,-3.851853, 2.073910
-0.317871, 3.244249,-6.559439, 3.414391
-0.570194, 3.374280,-8.524452, 4.353064
-0.892334, 3.536789,-10.698029, 5.333760
-1.281647, 3.728056,-12.030371, 5.854177
-1.636062, 3.902890,-9.320211, 4.690369
-1.933607, 4.052678,-8.547894, 4.306569
-2.207111, 4.190654,-7.872437, 3.979364
-2.459695, 4.318562,-7.292750, 3.701443
-2.694354, 4.437875,-6.795897, 3.462526
-2.913658, 4.549747,-6.370200, 3.253957
-3.119816, 4.655071,-6.006016, 3.068817
-3.314566, 4.754539,-5.598334, 2.903440
-3.490484, 4.849017,-4.801538, 2.777648
-3.640508, 4.939762,-4.076759, 2.683058
-3.767986, 5.027635,-3.454159, 2.609356
-3.871350, 5.113998,-2.748368, 2.577913
-3.951488, 5.199809,-2.059105, 2.576372
-4.005575, 5.286874,-1.181032, 2.655482
-4.026034, 5.378336,-0.488156, 2.713181
-4.040140, 5.467341,-0.363765, 2.627545
-4.050559, 5.553562,-0.265977, 2.546248
-4.058134, 5.637136,-0.192506, 2.468742
-4.075764, 5.713247,-0.881019, 2.090735
-4.115213, 5.777180,-1.386233, 1.789221
-4.161921, 5.835301,-1.417690, 1.698774
-4.209803, 5.890485,-1.456137, 1.613171
-4.269222, 5.938198,-1.840629, 1.374944
-4.331433, 5.982723,-1.891872, 1.297716
-4.395323, 6.024796,-1.941050, 1.227971
-4.473938, 6.058316,-2.424339, 0.954159
-4.467729, 6.132110, 2.838894, 3.501904
-4.305994, 6.281835, 6.867543, 5.490553
-4.043498, 6.481685, 8.788876, 6.456309
-3.711913, 6.716192,10.353957, 7.257904
-3.387502, 6.950348, 9.094762, 6.802907
-3.105823, 7.170947, 7.817666, 6.457765
-2.866135, 7.382346, 6.570784, 6.249624
-2.667641, 7.589068, 5.342316, 6.175950
-2.510427, 7.795489, 4.083947, 6.230989
-2.396354, 8.005956, 2.743592, 6.420538
-2.329169, 8.225247, 1.258510, 6.765237
-2.314865, 8.459110,-0.441684, 7.302409
-2.361624, 8.714700,-2.408170, 8.074025
-2.477165, 8.999635,-4.515624, 9.038524
-2.688776, 9.330952,-9.613225,11.551938
-3.003442, 9.712923,-8.733122,11.095987
-3.249830,10.061164,-5.945009, 9.779025
-3.400709,10.367742,-3.170809, 8.682118
-3.466007,10.644391,-0.811714, 7.976461
-3.424734,10.897854, 2.424415, 7.401094
-3.314080,11.141481, 4.195395, 7.252418
-3.145773,11.383664, 5.896040, 7.312290
-2.920633,11.631349, 7.616114, 7.583728
-2.637062,11.891783, 9.402162, 8.076217
-2.294144,12.171657,11.130906, 8.724978
-1.928723,12.458847,10.568274, 8.401826
-1.618382,12.717819, 8.397755, 7.316319
